n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,level,N,N,mean_PSD
150,25,0,I,ShP,Supremum,0.1,column,t4,30.8,1,1000,0
150,25,0,Sh,SbP,Euclidean,0.1,column,t4,20.7,1,1000,1
150,25,0,Sh,SbP,Supremum,0.1,column,t4,9.5,1,1000,1
150,25,0,I,SbP,Euclidean,0.1,column,t4,58,1,1000,1
150,25,0,I,SbP,Supremum,0.1,column,t4,29.9,1,1000,1
150,25,0,Sh,ShJ,Euclidean,0.1,column,t4,99.5,1,1000,1
150,25,0,Sh,ShJ,Supremum,0.1,column,t4,83.9,1,1000,1
150,25,0,I,ShJ,Euclidean,0.1,column,t4,23.55,1,2000,
150,25,0,I,ShJ,Supremum,0.1,column,t4,28.55,1,2000,
150,25,0,Sh,SbJ,Euclidean,0.1,column,t4,22.5,1,1000,1
150,25,0,Sh,SbJ,Supremum,0.1,column,t4,9.6,1,1000,1
150,25,0,I,SbJ,Euclidean,0.1,column,t4,61.2,1,1000,1
150,25,0,I,SbJ,Supremum,0.1,column,t4,31.3,1,1000,1
50,25,0,Sh,ShP,Euclidean,0.2,single,t4,0,1,1000,0
50,25,0,Sh,ShP,Supremum,0.2,single,t4,0.1,1,1000,0
50,25,0,I,ShP,Euclidean,0.2,single,t4,0,1,1000,0
50,25,0,I,ShP,Supremum,0.2,single,t4,5.2,1,1000,0
50,25,0,Sh,SbP,Euclidean,0.2,single,t4,5.1,1,1000,1
50,25,0,Sh,SbP,Supremum,0.2,single,t4,5,1,1000,1
50,25,0,I,SbP,Euclidean,0.2,single,t4,5.5,1,1000,1
50,25,0,I,SbP,Supremum,0.2,single,t4,4.8,1,1000,1
50,25,0,Sh,ShJ,Euclidean,0.2,single,t4,0,1,1000,1
50,25,0,Sh,ShJ,Supremum,0.2,single,t4,0,1,1000,1
50,25,0,I,ShJ,Euclidean,0.2,single,t4,0,1,2000,
50,25,0,I,ShJ,Supremum,0.2,single,t4,4.05,1,2000,
50,25,0,Sh,SbJ,Euclidean,0.2,single,t4,8.5,1,1000,1
50,25,0,Sh,SbJ,Supremum,0.2,single,t4,5.5,1,1000,1
50,25,0,I,SbJ,Euclidean,0.2,single,t4,8.3,1,1000,1
50,25,0,I,SbJ,Supremum,0.2,single,t4,5.3,1,1000,1
50,25,0,Sh,ShP,Euclidean,0.1,column,t4,0,1,1000,0
50,25,0,Sh,ShP,Supremum,0.1,column,t4,0,1,1000,0
50,25,0,I,ShP,Euclidean,0.1,column,t4,1.6,1,1000,0
50,25,0,I,ShP,Supremum,0.1,column,t4,7.4,1,1000,0
50,25,0,Sh,SbP,Euclidean,0.1,column,t4,7.3,1,1000,1
50,25,0,Sh,SbP,Supremum,0.1,column,t4,4.2,1,1000,1
50,25,0,I,SbP,Euclidean,0.1,column,t4,17.8,1,1000,1
50,25,0,I,SbP,Supremum,0.1,column,t4,7.1,1,1000,1
50,25,0,Sh,ShJ,Euclidean,0.1,column,t4,0,1,1000,1
50,25,0,Sh,ShJ,Supremum,0.1,column,t4,0,1,1000,1
50,25,0,I,ShJ,Euclidean,0.1,column,t4,0.45,1,2000,
50,25,0,I,ShJ,Supremum,0.1,column,t4,5.9,1,2000,
50,25,0,Sh,SbJ,Euclidean,0.1,column,t4,10.9,1,1000,1
50,25,0,Sh,SbJ,Supremum,0.1,column,t4,4.4,1,1000,1
50,25,0,I,SbJ,Euclidean,0.1,column,t4,22.4,1,1000,1
50,25,0,I,SbJ,Supremum,0.1,column,t4,8.1,1,1000,1
150,25,0.6,Sh,ShP,Euclidean,0,none,t4,98.5,1,1000,0
150,25,0.6,Sh,ShP,Supremum,0,none,t4,83.5,1,1000,0
150,25,0.6,I,ShP,Euclidean,0,none,t4,0.7,1,1000,0
150,25,0.6,I,ShP,Supremum,0,none,t4,3.6,1,1000,0
150,25,0.6,Sh,SbP,Euclidean,0,none,t4,3.3,1,1000,1
150,25,0.6,Sh,SbP,Supremum,0,none,t4,3.7,1,1000,1
150,25,0.6,I,SbP,Euclidean,0,none,t4,4.5,1,1000,1
150,25,0.6,I,SbP,Supremum,0,none,t4,4.5,1,1000,1
150,25,0.6,Sh,ShJ,Euclidean,0,none,t4,97.8,1,1000,1
150,25,0.6,Sh,ShJ,Supremum,0,none,t4,77.2,1,1000,1
150,25,0.6,I,ShJ,Euclidean,0,none,t4,0.1,1,2000,
150,25,0.6,I,ShJ,Supremum,0,none,t4,2.3,1,2000,
150,25,0.6,Sh,SbJ,Euclidean,0,none,t4,1.9,1,1000,1
150,25,0.6,Sh,SbJ,Supremum,0,none,t4,3.2,1,1000,1
150,25,0.6,I,SbJ,Euclidean,0,none,t4,4,1,1000,1
150,25,0.6,I,SbJ,Supremum,0,none,t4,4.2,1,1000,1
100,25,0,Sh,ShP,Euclidean,0.2,single,t4,5,1,1000,0
100,25,0,Sh,ShP,Supremum,0.2,single,t4,4.7,1,1000,0
100,25,0,I,ShP,Euclidean,0.2,single,t4,0,1,1000,0
100,25,0,I,ShP,Supremum,0.2,single,t4,14.6,1,1000,0
100,25,0,Sh,SbP,Euclidean,0.2,single,t4,7.8,1,1000,1
100,25,0,Sh,SbP,Supremum,0.2,single,t4,14.8,1,1000,1
100,25,0,I,SbP,Euclidean,0.2,single,t4,7.7,1,1000,1
100,25,0,I,SbP,Supremum,0.2,single,t4,14.9,1,1000,1
100,25,0,Sh,ShJ,Euclidean,0.2,single,t4,1.9,1,1000,1
100,25,0,Sh,ShJ,Supremum,0.2,single,t4,3.3,1,1000,1
100,25,0,I,ShJ,Euclidean,0.2,single,t4,0,1,2000,
100,25,0,I,ShJ,Supremum,0.2,single,t4,13.35,1,2000,
100,25,0,Sh,SbJ,Euclidean,0.2,single,t4,10,1,1000,1
100,25,0,Sh,SbJ,Supremum,0.2,single,t4,15.2,1,1000,1
100,25,0,I,SbJ,Euclidean,0.2,single,t4,10,1,1000,1
100,25,0,I,SbJ,Supremum,0.2,single,t4,15,1,1000,1
100,25,0.3,Sh,ShP,Euclidean,0.2,column,t4,96.7,1,1000,0
100,25,0.3,Sh,ShP,Supremum,0.2,column,t4,90.4,1,1000,0
100,25,0.3,I,ShP,Euclidean,0.2,column,t4,93.3,1,1000,0
100,25,0.3,I,ShP,Supremum,0.2,column,t4,94.7,1,1000,0
100,25,0.3,Sh,SbP,Euclidean,0.2,column,t4,62.8,1,1000,1
100,25,0.3,Sh,SbP,Supremum,0.2,column,t4,43.5,1,1000,1
100,25,0.3,I,SbP,Euclidean,0.2,column,t4,97,1,1000,1
100,25,0.3,I,SbP,Supremum,0.2,column,t4,96.1,1,1000,1
100,25,0.3,Sh,ShJ,Euclidean,0.2,column,t4,94.9,1,1000,1
100,25,0.3,Sh,ShJ,Supremum,0.2,column,t4,88.2,1,1000,1
100,25,0.3,I,ShJ,Euclidean,0.2,column,t4,91.75,1,2000,
100,25,0.3,I,ShJ,Supremum,0.2,column,t4,94.2,1,2000,
100,25,0.3,Sh,SbJ,Euclidean,0.2,column,t4,61.2,1,1000,1
100,25,0.3,Sh,SbJ,Supremum,0.2,column,t4,45.7,1,1000,1
100,25,0.3,I,SbJ,Euclidean,0.2,column,t4,96.9,1,1000,1
100,25,0.3,I,SbJ,Supremum,0.2,column,t4,96.3,1,1000,1
100,25,0,Sh,ShP,Euclidean,0.1,single,t4,4.2,1,1000,0
100,25,0,Sh,ShP,Supremum,0.1,single,t4,4.6,1,1000,0
100,25,0,I,ShP,Euclidean,0.1,single,t4,0,1,1000,0
100,25,0,I,ShP,Supremum,0.1,single,t4,4.9,1,1000,0
100,25,0,Sh,SbP,Euclidean,0.1,single,t4,5,1,1000,1
100,25,0,Sh,SbP,Supremum,0.1,single,t4,4.6,1,1000,1
100,25,0,I,SbP,Euclidean,0.1,single,t4,5,1,1000,1
100,25,0,I,SbP,Supremum,0.1,single,t4,4.5,1,1000,1
100,25,0,Sh,ShJ,Euclidean,0.1,single,t4,1.8,1,1000,1
100,25,0,Sh,ShJ,Supremum,0.1,single,t4,2.5,1,1000,1
100,25,0,I,ShJ,Euclidean,0.1,single,t4,0,1,2000,
100,25,0,I,ShJ,Supremum,0.1,single,t4,4.1,1,2000,
100,25,0,Sh,SbJ,Euclidean,0.1,single,t4,5.8,1,1000,1
100,25,0,Sh,SbJ,Supremum,0.1,single,t4,4.7,1,1000,1
100,25,0,I,SbJ,Euclidean,0.1,single,t4,5.8,1,1000,1
100,25,0,I,SbJ,Supremum,0.1,single,t4,4.8,1,1000,1
100,25,0,Sh,ShP,Euclidean,0.1,column,t4,23.4,1,1000,0
100,25,0,Sh,ShP,Supremum,0.1,column,t4,13.3,1,1000,0
100,25,0,I,ShP,Euclidean,0.1,column,t4,7.8,1,1000,0
100,25,0,I,ShP,Supremum,0.1,column,t4,18.1,1,1000,0
100,25,0,Sh,SbP,Euclidean,0.1,column,t4,11.4,1,1000,1
100,25,0,Sh,SbP,Supremum,0.1,column,t4,7.6,1,1000,1
100,25,0,I,SbP,Euclidean,0.1,column,t4,36,1,1000,1
100,25,0,I,SbP,Supremum,0.1,column,t4,17.5,1,1000,1
100,25,0,Sh,ShJ,Euclidean,0.1,column,t4,16.4,1,1000,1
100,25,0,Sh,ShJ,Supremum,0.1,column,t4,10,1,1000,1
100,25,0,I,ShJ,Euclidean,0.1,column,t4,5.45,1,2000,
100,25,0,I,ShJ,Supremum,0.1,column,t4,16.05,1,2000,
100,25,0,Sh,SbJ,Euclidean,0.1,column,t4,14.9,1,1000,1
100,25,0,Sh,SbJ,Supremum,0.1,column,t4,8.4,1,1000,1
100,25,0,I,SbJ,Euclidean,0.1,column,t4,40.3,1,1000,1
100,25,0,I,SbJ,Supremum,0.1,column,t4,18.5,1,1000,1
100,25,0.3,Sh,ShP,Euclidean,0.1,single,t4,49.8,1,1000,0
100,25,0.3,Sh,ShP,Supremum,0.1,single,t4,24.3,1,1000,0
100,25,0.3,I,ShP,Euclidean,0.1,single,t4,1.1,1,1000,0
100,25,0.3,I,ShP,Supremum,0.1,single,t4,5.1,1,1000,0
100,25,0.3,Sh,SbP,Euclidean,0.1,single,t4,7.2,1,1000,1
100,25,0.3,Sh,SbP,Supremum,0.1,single,t4,8.8,1,1000,1
100,25,0.3,I,SbP,Euclidean,0.1,single,t4,6.2,1,1000,1
100,25,0.3,I,SbP,Supremum,0.1,single,t4,5.6,1,1000,1
100,25,0.3,Sh,ShJ,Euclidean,0.1,single,t4,36.9,1,1000,1
100,25,0.3,Sh,ShJ,Supremum,0.1,single,t4,15.7,1,1000,1
100,25,0.3,I,ShJ,Euclidean,0.1,single,t4,0.5,1,2000,
100,25,0.3,I,ShJ,Supremum,0.1,single,t4,3.85,1,2000,
100,25,0.3,Sh,SbJ,Euclidean,0.1,single,t4,7,1,1000,1
100,25,0.3,Sh,SbJ,Supremum,0.1,single,t4,8.4,1,1000,1
100,25,0.3,I,SbJ,Euclidean,0.1,single,t4,6.8,1,1000,1
100,25,0.3,I,SbJ,Supremum,0.1,single,t4,5.7,1,1000,1
150,25,0,Sh,ShP,Euclidean,0.1,single,t4,96.9,1,1000,0
150,25,0,Sh,ShP,Supremum,0.1,single,t4,68.4,1,1000,0
150,25,0,I,ShP,Euclidean,0.1,single,t4,0,1,1000,0
150,25,0,I,ShP,Supremum,0.1,single,t4,4.9,1,1000,0
150,25,0,Sh,SbP,Euclidean,0.1,single,t4,5.2,1,1000,1
150,25,0,Sh,SbP,Supremum,0.1,single,t4,4.7,1,1000,1
150,25,0,I,SbP,Euclidean,0.1,single,t4,5.3,1,1000,1
150,25,0,I,SbP,Supremum,0.1,single,t4,4.8,1,1000,1
150,25,0,Sh,ShJ,Euclidean,0.1,single,t4,93.2,1,1000,1
150,25,0,Sh,ShJ,Supremum,0.1,single,t4,55.7,1,1000,1
150,25,0,I,ShJ,Euclidean,0.1,single,t4,0.05,1,2000,
150,25,0,I,ShJ,Supremum,0.1,single,t4,4.85,1,2000,
150,25,0,Sh,SbJ,Euclidean,0.1,single,t4,6.5,1,1000,1
150,25,0,Sh,SbJ,Supremum,0.1,single,t4,4.9,1,1000,1
150,25,0,I,SbJ,Euclidean,0.1,single,t4,6.8,1,1000,1
150,25,0,I,SbJ,Supremum,0.1,single,t4,4.8,1,1000,1
100,25,0.3,Sh,ShP,Euclidean,0.2,single,t4,53.4,1,1000,0
100,25,0.3,Sh,ShP,Supremum,0.2,single,t4,29.9,1,1000,0
100,25,0.3,I,ShP,Euclidean,0.2,single,t4,1.3,1,1000,0
100,25,0.3,I,ShP,Supremum,0.2,single,t4,27.6,1,1000,0
100,25,0.3,Sh,SbP,Euclidean,0.2,single,t4,13.3,1,1000,1
100,25,0.3,Sh,SbP,Supremum,0.2,single,t4,56.9,1,1000,1
100,25,0.3,I,SbP,Euclidean,0.2,single,t4,7.5,1,1000,1
100,25,0.3,I,SbP,Supremum,0.2,single,t4,29.9,1,1000,1
100,25,0.3,Sh,ShJ,Euclidean,0.2,single,t4,39,1,1000,1
100,25,0.3,Sh,ShJ,Supremum,0.2,single,t4,19.3,1,1000,1
100,25,0.3,I,ShJ,Euclidean,0.2,single,t4,0.75,1,2000,
100,25,0.3,I,ShJ,Supremum,0.2,single,t4,26.15,1,2000,
100,25,0.3,Sh,SbJ,Euclidean,0.2,single,t4,12.7,1,1000,1
100,25,0.3,Sh,SbJ,Supremum,0.2,single,t4,56.8,1,1000,1
100,25,0.3,I,SbJ,Euclidean,0.2,single,t4,8.6,1,1000,1
100,25,0.3,I,SbJ,Supremum,0.2,single,t4,29.3,1,1000,1
150,25,0.3,Sh,ShP,Euclidean,0.1,single,t4,99.9,1,1000,0
150,25,0.3,Sh,ShP,Supremum,0.1,single,t4,88.1,1,1000,0
150,25,0.3,I,ShP,Euclidean,0.1,single,t4,1,1,1000,0
150,25,0.3,I,ShP,Supremum,0.1,single,t4,7.2,1,1000,0
150,25,0.3,Sh,SbP,Euclidean,0.1,single,t4,6.9,1,1000,1
150,25,0.3,Sh,SbP,Supremum,0.1,single,t4,12.9,1,1000,1
150,25,0.3,I,SbP,Euclidean,0.1,single,t4,6,1,1000,1
150,25,0.3,I,SbP,Supremum,0.1,single,t4,8.2,1,1000,1
150,25,0.3,Sh,ShJ,Euclidean,0.1,single,t4,98.3,1,1000,1
150,25,0.3,Sh,ShJ,Supremum,0.1,single,t4,70.8,1,1000,1
150,25,0.3,I,ShJ,Euclidean,0.1,single,t4,1,1,2000,
150,25,0.3,I,ShJ,Supremum,0.1,single,t4,6.35,1,2000,
150,25,0.3,Sh,SbJ,Euclidean,0.1,single,t4,6.5,1,1000,1
150,25,0.3,Sh,SbJ,Supremum,0.1,single,t4,12.6,1,1000,1
150,25,0.3,I,SbJ,Euclidean,0.1,single,t4,6.5,1,1000,1
150,25,0.3,I,SbJ,Supremum,0.1,single,t4,8,1,1000,1
100,25,0.6,Sh,ShP,Euclidean,0.2,single,t4,74.6,1,1000,0
100,25,0.6,Sh,ShP,Supremum,0.2,single,t4,51.3,1,1000,0
100,25,0.6,I,ShP,Euclidean,0.2,single,t4,1,1,1000,0
100,25,0.6,I,ShP,Supremum,0.2,single,t4,98.3,1,1000,0
100,25,0.6,Sh,SbP,Euclidean,0.2,single,t4,55.6,1,1000,1
100,25,0.6,Sh,SbP,Supremum,0.2,single,t4,99.8,1,1000,1
100,25,0.6,I,SbP,Euclidean,0.2,single,t4,11.6,1,1000,1
100,25,0.6,I,SbP,Supremum,0.2,single,t4,99.1,1,1000,1
100,25,0.6,Sh,ShJ,Euclidean,0.2,single,t4,66.4,1,1000,1
100,25,0.6,Sh,ShJ,Supremum,0.2,single,t4,42.4,1,1000,1
100,25,0.6,I,ShJ,Euclidean,0.2,single,t4,0.55,1,2000,
100,25,0.6,I,ShJ,Supremum,0.2,single,t4,97.7,1,2000,
100,25,0.6,Sh,SbJ,Euclidean,0.2,single,t4,40.9,1,1000,1
100,25,0.6,Sh,SbJ,Supremum,0.2,single,t4,99.8,1,1000,1
100,25,0.6,I,SbJ,Euclidean,0.2,single,t4,9.6,1,1000,1
100,25,0.6,I,SbJ,Supremum,0.2,single,t4,99,1,1000,1
50,25,0.6,Sh,ShP,Euclidean,0.1,column,t4,23.3,1,1000,0
50,25,0.6,Sh,ShP,Supremum,0.1,column,t4,25.1,1,1000,0
50,25,0.6,I,ShP,Euclidean,0.1,column,t4,17.3,1,1000,0
50,25,0.6,I,ShP,Supremum,0.1,column,t4,35.3,1,1000,0
50,25,0.6,Sh,SbP,Euclidean,0.1,column,t4,12.5,1,1000,1
50,25,0.6,Sh,SbP,Supremum,0.1,column,t4,11.2,1,1000,1
50,25,0.6,I,SbP,Euclidean,0.1,column,t4,49.8,1,1000,1
50,25,0.6,I,SbP,Supremum,0.1,column,t4,54.4,1,1000,1
50,25,0.6,Sh,ShJ,Euclidean,0.1,column,t4,22.7,1,1000,1
50,25,0.6,Sh,ShJ,Supremum,0.1,column,t4,24.5,1,1000,1
50,25,0.6,I,ShJ,Euclidean,0.1,column,t4,10.8,1,2000,
50,25,0.6,I,ShJ,Supremum,0.1,column,t4,29.35,1,2000,
50,25,0.6,Sh,SbJ,Euclidean,0.1,column,t4,2.1,1,1000,1
50,25,0.6,Sh,SbJ,Supremum,0.1,column,t4,6.9,1,1000,1
50,25,0.6,I,SbJ,Euclidean,0.1,column,t4,40.9,1,1000,1
50,25,0.6,I,SbJ,Supremum,0.1,column,t4,48.2,1,1000,1
150,25,0,Sh,ShP,Euclidean,0,none,t4,96.2,1,1000,0
150,25,0,Sh,ShP,Supremum,0,none,t4,68.6,1,1000,0
150,25,0,I,ShP,Euclidean,0,none,t4,0,1,1000,0
150,25,0,I,ShP,Supremum,0,none,t4,4.3,1,1000,0
150,25,0,Sh,SbP,Euclidean,0,none,t4,4.5,1,1000,1
150,25,0,Sh,SbP,Supremum,0,none,t4,4.1,1,1000,1
150,25,0,I,SbP,Euclidean,0,none,t4,4.9,1,1000,1
150,25,0,I,SbP,Supremum,0,none,t4,4.2,1,1000,1
150,25,0,Sh,ShJ,Euclidean,0,none,t4,91.8,1,1000,1
150,25,0,Sh,ShJ,Supremum,0,none,t4,55.4,1,1000,1
150,25,0,I,ShJ,Euclidean,0,none,t4,0,1,2000,
150,25,0,I,ShJ,Supremum,0,none,t4,4.1,1,2000,
150,25,0,Sh,SbJ,Euclidean,0,none,t4,5.9,1,1000,1
150,25,0,Sh,SbJ,Supremum,0,none,t4,4.2,1,1000,1
150,25,0,I,SbJ,Euclidean,0,none,t4,5.7,1,1000,1
150,25,0,I,SbJ,Supremum,0,none,t4,4.6,1,1000,1
100,25,0.6,Sh,ShP,Euclidean,0.1,single,t4,62.4,1,1000,0
100,25,0.6,Sh,ShP,Supremum,0.1,single,t4,37.4,1,1000,0
100,25,0.6,I,ShP,Euclidean,0.1,single,t4,0.9,1,1000,0
100,25,0.6,I,ShP,Supremum,0.1,single,t4,8.8,1,1000,0
100,25,0.6,Sh,SbP,Euclidean,0.1,single,t4,11.5,1,1000,1
100,25,0.6,Sh,SbP,Supremum,0.1,single,t4,39.7,1,1000,1
100,25,0.6,I,SbP,Euclidean,0.1,single,t4,5.2,1,1000,1
100,25,0.6,I,SbP,Supremum,0.1,single,t4,14.3,1,1000,1
100,25,0.6,Sh,ShJ,Euclidean,0.1,single,t4,56.6,1,1000,1
100,25,0.6,Sh,ShJ,Supremum,0.1,single,t4,32.4,1,1000,1
100,25,0.6,I,ShJ,Euclidean,0.1,single,t4,0.2,1,2000,
100,25,0.6,I,ShJ,Supremum,0.1,single,t4,7.5,1,2000,
100,25,0.6,Sh,SbJ,Euclidean,0.1,single,t4,5.2,1,1000,1
100,25,0.6,Sh,SbJ,Supremum,0.1,single,t4,37,1,1000,1
100,25,0.6,I,SbJ,Euclidean,0.1,single,t4,4.3,1,1000,1
100,25,0.6,I,SbJ,Supremum,0.1,single,t4,12.2,1,1000,1
100,25,0.6,Sh,ShP,Euclidean,0.2,column,t4,97.8,1,1000,0
100,25,0.6,Sh,ShP,Supremum,0.2,column,t4,94.3,1,1000,0
100,25,0.6,I,ShP,Euclidean,0.2,column,t4,100,1,1000,0
100,25,0.6,I,ShP,Supremum,0.2,column,t4,100,1,1000,0
100,25,0.6,Sh,SbP,Euclidean,0.2,column,t4,99.9,1,1000,1
100,25,0.6,Sh,SbP,Supremum,0.2,column,t4,98.3,1,1000,1
100,25,0.6,I,SbP,Euclidean,0.2,column,t4,100,1,1000,1
100,25,0.6,I,SbP,Supremum,0.2,column,t4,100,1,1000,1
100,25,0.6,Sh,ShJ,Euclidean,0.2,column,t4,99.1,1,1000,1
100,25,0.6,Sh,ShJ,Supremum,0.2,column,t4,96.8,1,1000,1
100,25,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,2000,
100,25,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,2000,
100,25,0.6,Sh,SbJ,Euclidean,0.2,column,t4,99.9,1,1000,1
100,25,0.6,Sh,SbJ,Supremum,0.2,column,t4,99.1,1,1000,1
100,25,0.6,I,SbJ,Euclidean,0.2,column,t4,100,1,1000,1
100,25,0.6,I,SbJ,Supremum,0.2,column,t4,100,1,1000,1
100,25,0,Sh,ShP,Euclidean,0.2,column,t4,83.5,1,1000,0
100,25,0,Sh,ShP,Supremum,0.2,column,t4,64.3,1,1000,0
100,25,0,I,ShP,Euclidean,0.2,column,t4,79.8,1,1000,0
100,25,0,I,ShP,Supremum,0.2,column,t4,82.1,1,1000,0
100,25,0,Sh,SbP,Euclidean,0.2,column,t4,42.9,1,1000,1
100,25,0,Sh,SbP,Supremum,0.2,column,t4,25.9,1,1000,1
100,25,0,I,SbP,Euclidean,0.2,column,t4,92.7,1,1000,1
100,25,0,I,SbP,Supremum,0.2,column,t4,83,1,1000,1
100,25,0,Sh,ShJ,Euclidean,0.2,column,t4,78.4,1,1000,1
100,25,0,Sh,ShJ,Supremum,0.2,column,t4,58.7,1,1000,1
100,25,0,I,ShJ,Euclidean,0.2,column,t4,74.25,1,2000,
100,25,0,I,ShJ,Supremum,0.2,column,t4,80.05,1,2000,
100,25,0,Sh,SbJ,Euclidean,0.2,column,t4,48.7,1,1000,1
100,25,0,Sh,SbJ,Supremum,0.2,column,t4,29.3,1,1000,1
100,25,0,I,SbJ,Euclidean,0.2,column,t4,94,1,1000,1
100,25,0,I,SbJ,Supremum,0.2,column,t4,83.8,1,1000,1
150,25,0,Sh,ShP,Euclidean,0.2,column,t4,100,1,1000,0
150,25,0,Sh,ShP,Supremum,0.2,column,t4,99,1,1000,0
150,25,0,I,ShP,Euclidean,0.2,column,t4,97.5,1,1000,0
150,25,0,I,ShP,Supremum,0.2,column,t4,96.9,1,1000,0
150,25,0,Sh,SbP,Euclidean,0.2,column,t4,68.2,1,1000,1
150,25,0,Sh,SbP,Supremum,0.2,column,t4,42.1,1,1000,1
150,25,0,I,SbP,Euclidean,0.2,column,t4,98.9,1,1000,1
150,25,0,I,SbP,Supremum,0.2,column,t4,97,1,1000,1
150,25,0,Sh,ShJ,Euclidean,0.2,column,t4,100,1,1000,1
150,25,0,Sh,ShJ,Supremum,0.2,column,t4,98,1,1000,1
150,25,0,I,ShJ,Euclidean,0.2,column,t4,96.9,1,2000,
150,25,0,I,ShJ,Supremum,0.2,column,t4,96.25,1,2000,
150,25,0,Sh,SbJ,Euclidean,0.2,column,t4,73.9,1,1000,1
150,25,0,Sh,SbJ,Supremum,0.2,column,t4,46.5,1,1000,1
150,25,0,I,SbJ,Euclidean,0.2,column,t4,99.3,1,1000,1
150,25,0,I,SbJ,Supremum,0.2,column,t4,97.3,1,1000,1
50,25,0.3,Sh,ShP,Euclidean,0.2,column,t4,30.8,1,1000,0
50,25,0.3,Sh,ShP,Supremum,0.2,column,t4,41.7,1,1000,0
50,25,0.3,I,ShP,Euclidean,0.2,column,t4,48.5,1,1000,0
50,25,0.3,I,ShP,Supremum,0.2,column,t4,69.3,1,1000,0
50,25,0.3,Sh,SbP,Euclidean,0.2,column,t4,23.5,1,1000,1
50,25,0.3,Sh,SbP,Supremum,0.2,column,t4,19,1,1000,1
50,25,0.3,I,SbP,Euclidean,0.2,column,t4,76.6,1,1000,1
50,25,0.3,I,SbP,Supremum,0.2,column,t4,77.4,1,1000,1
50,25,0.3,Sh,ShJ,Euclidean,0.2,column,t4,28.3,1,1000,1
50,25,0.3,Sh,ShJ,Supremum,0.2,column,t4,36.4,1,1000,1
50,25,0.3,I,ShJ,Euclidean,0.2,column,t4,39.4,1,2000,
50,25,0.3,I,ShJ,Supremum,0.2,column,t4,60.85,1,2000,
50,25,0.3,Sh,SbJ,Euclidean,0.2,column,t4,19.3,1,1000,1
50,25,0.3,Sh,SbJ,Supremum,0.2,column,t4,18.9,1,1000,1
50,25,0.3,I,SbJ,Euclidean,0.2,column,t4,76.5,1,1000,1
50,25,0.3,I,SbJ,Supremum,0.2,column,t4,77.7,1,1000,1
50,25,0.3,Sh,ShP,Euclidean,0,none,t4,0.7,1,1000,0
50,25,0.3,Sh,ShP,Supremum,0,none,t4,0.8,1,1000,0
50,25,0.3,I,ShP,Euclidean,0,none,t4,0.2,1,1000,0
50,25,0.3,I,ShP,Supremum,0,none,t4,2.3,1,1000,0
50,25,0.3,Sh,SbP,Euclidean,0,none,t4,4.2,1,1000,1
50,25,0.3,Sh,SbP,Supremum,0,none,t4,3.3,1,1000,1
50,25,0.3,I,SbP,Euclidean,0,none,t4,3.3,1,1000,1
50,25,0.3,I,SbP,Supremum,0,none,t4,3.3,1,1000,1
50,25,0.3,Sh,ShJ,Euclidean,0,none,t4,0.2,1,1000,1
50,25,0.3,Sh,ShJ,Supremum,0,none,t4,0.6,1,1000,1
50,25,0.3,I,ShJ,Euclidean,0,none,t4,0.05,1,2000,
50,25,0.3,I,ShJ,Supremum,0,none,t4,2.35,1,2000,
50,25,0.3,Sh,SbJ,Euclidean,0,none,t4,4.3,1,1000,1
50,25,0.3,Sh,SbJ,Supremum,0,none,t4,3.2,1,1000,1
50,25,0.3,I,SbJ,Euclidean,0,none,t4,4.4,1,1000,1
50,25,0.3,I,SbJ,Supremum,0,none,t4,3.4,1,1000,1
100,25,0.6,Sh,ShP,Euclidean,0,none,t4,58.8,1,1000,0
100,25,0.6,Sh,ShP,Supremum,0,none,t4,36.5,1,1000,0
100,25,0.6,I,ShP,Euclidean,0,none,t4,0.7,1,1000,0
100,25,0.6,I,ShP,Supremum,0,none,t4,2.9,1,1000,0
100,25,0.6,Sh,SbP,Euclidean,0,none,t4,3.4,1,1000,1
100,25,0.6,Sh,SbP,Supremum,0,none,t4,4.8,1,1000,1
100,25,0.6,I,SbP,Euclidean,0,none,t4,4.3,1,1000,1
100,25,0.6,I,SbP,Supremum,0,none,t4,5.2,1,1000,1
100,25,0.6,Sh,ShJ,Euclidean,0,none,t4,51,1,1000,1
100,25,0.6,Sh,ShJ,Supremum,0,none,t4,31.8,1,1000,1
100,25,0.6,I,ShJ,Euclidean,0,none,t4,0.2,1,2000,
100,25,0.6,I,ShJ,Supremum,0,none,t4,2.1,1,2000,
100,25,0.6,Sh,SbJ,Euclidean,0,none,t4,2.1,1,1000,1
100,25,0.6,Sh,SbJ,Supremum,0,none,t4,3.8,1,1000,1
100,25,0.6,I,SbJ,Euclidean,0,none,t4,3.6,1,1000,1
100,25,0.6,I,SbJ,Supremum,0,none,t4,4.4,1,1000,1
100,25,0.3,Sh,ShP,Euclidean,0,none,t4,49.4,1,1000,0
100,25,0.3,Sh,ShP,Supremum,0,none,t4,27,1,1000,0
100,25,0.3,I,ShP,Euclidean,0,none,t4,0.7,1,1000,0
100,25,0.3,I,ShP,Supremum,0,none,t4,4.3,1,1000,0
100,25,0.3,Sh,SbP,Euclidean,0,none,t4,5.2,1,1000,1
100,25,0.3,Sh,SbP,Supremum,0,none,t4,5,1,1000,1
